# 二简词
be	表示
tmovv	𱒆
tmovvu	㖭 𱒆
tmu	甜
tmua	𱃺
tmuauv	𱃺
tmui	腆
tmuiav	腆
tmuii	畠
tmuiia	畠
tmuiv	胋
tmuivo	胋
tmuv	舔
tmuvvi	甜
tmuvvv	舔
tmv	填
tmvi	黇
tmvii	酟
tmviiv	黇 酟
tmviu	甛
tmviuv	甛
tmvo	塡
tmvoua	塡
tmvouo	填
tmvu	殄
tmvui	鿬
tmvuia	䩄 鿬
tmvuiu	殄
tmvv	忝
tmvva	沗
tmvvaa	沗
tmvvi	琠
tmvvia	琠
tmvviu	忝
tmvvu	瑱
tmvvuo	兲 天 瑱
tmvvuv	靔
tp	唐
tpa	汤
tpaa	烫
tpaaou	烫
tpaauu	汤
tpaav	𬍡
tpaavv	𬍡
tpai	淌
tpaio	漟
tpaiou	淌 漟
tpao	溏
tpaovu	溏
tpau	帑
tpauia	帑
tpauo	㜍
tpauov	㜍
tpauv	漡
tpauva	漡
tpi	堂
tpia	螳
tpiaio	螳
tpiao	螗
tpiaov	嵣 螗
tpiau	𱎟
tpiauu	𱎟
tpii	倘
tpiio	傥
tpiiou	倘 傥
tpio	棠
tpioa	铴
tpioaa	铴
tpioai	䣘
tpioi	镗
tpioii	㓥
tpioio	镋 铛 镗
tpiov	傏
tpiovo	坣 堂
tpiovu	傏
tpiovv	棠
tpiu	搪
tpiuov	搪
tpiuu	𫼟
tpiuuv	𫼟
tpiv	伖
tpivua	伖
tpo	糖
tpoa	𱒂
tpoauu	𱒂
tpoi	嘡
tpoia	𰸄
tpoiau	𰸄
tpoii	蹚
tpoiio	䠀 𭧋 蹚
tpoiou	嘡
tpoo	惝
tpooa	𰐿
tpooau	𰐿
tpooi	𰑿
tpooio	惝 𰑿
tpou	羰
tpoui	𬊵
tpouia	羰
tpouio	𬊵
tpouo	煻
tpouov	糖 煻
tpov	鄌
tpovai	鄌
tpovav	唐
tpu	躺
tpua	饧
tpuaau	饧
tpuao	𬳍
tpuaov	𬳍
tpui	膛
tpuiio	躺
tpuiou	膛
tpv	塘
tpvi	醣
tpvio	樘
tpviou	橖 樘
tpviov	醣
tpvo	趟
tpvoi	埫
tpvoio	趟 埫
tpvoo	赯
tpvoov	塘 赯
tpvov	榶
tpvovu	榶
tpvv	瑭
tpvvi	耥
tpvvio	耥
tpvvov	瑭
tr	腾
tra	漛
traouv	漛
tri	藤
tria	僜
triaou	僜
triiuo	藤
trio	𱎾
triouv	𱎾
tro	疼
trou	誊
troua	熥
trouao	熥
trouov	誊
trov	痋
trovia	痋
trovua	疼
tru	滕
truo	螣
truoa	縢
truoaa	腾 滕 縢
truoi	幐
truoia	螣 幐
truoo	𨃗
truooi	𨃗
truoou	𪱪
truou	䲢
truoua	䲢
truv	籐
truvuo	籐
trv	鼟
trvo	霯
trvoao	鼟 霯
ts	她
tsa	沓
tsaa	𦈖
tsaao	涾
tsaaoi	𦈖 涾
tsai	漯
tsaiav	漯
tsaii	溚
tsaiii	溚
tsao	溻
tsaoia	溻
tsaoii	沓
tsaou	𦧥
tsaouv	𦧥
tsau	㛥
tsauai	她
tsauao	㛥
tsav	㳠
tsavuo	㳠
tsi	挞
tsia	遝
tsiaa	崉
tsiaao	䵬 崉
tsiai	眔
tsiaia	他
tsiaiu	眔
tsiao	嚺
tsiaoa	遝 嚺
tsio	铊
tsioi	傝
tsioia	傝
tsiooo	铊
tsiu	拓
tsiuo	搨
tsiuoi	搨
tsiuu	𣥂
tsiuuu	𣥂
tsiuvu	挞 拓
tsiv	𠉂
tsivuo	𠉂
tso	它
tsoa	祂
tsoaai	祂
tsoao	褟
tsoaoi	褟
tsoi	踏
tsoia	嚃
tsoiai	嚃
tsoiao	𦐇 踏
tsoii	嗒
tsoiii	嗒
tsoio	蹋
tsoioa	遢
tsoioi	阘 蹋
tsoiu	趿
tsoiua	趿
tsoiuv	毾
tsoiv	闼
tsoivu	闼
tsooua	它
tsou	㗳
tsouvo	㗳
tsov	譶
tsovov	譶
tsu	獭
tsua	鳎
tsuaoi	鳎
tsuavi	獭
tsuu	䑽
tsuui	𦪙
tsuuiv	𦪙
tsuuoi	䑽
tsuv	牠
tsuva	濌
tsuvai	牠
tsuvao	𦧟 濌
tsv	塔
tsvi	鞳
tsvia	鞜
tsviao	鞜
tsvii	榙
tsviii	鞳 榙
tsvo	塌
tsvoi	榻
tsvoia	榻
tsvoii	塔
tsvoiv	墖
tsvooi	塌
tsvu	鿎
tsvuvu	鿎
tsvv	橽
tsvvuo	橽
tt	团
tta	湍
ttaa	彖
ttaaa	湪
ttaaav	湪
ttaavu	彖
ttaiai	湍
ttau	𰋹
ttauvv	𰋹
ttav	𬇘
ttavva	𬇘
tti	抟
ttia	疃
ttiaa	圕
ttiaav	圕
ttiai	𤱝
ttiaii	剬
ttiaiv	𤱝
ttiaov	疃
ttiau	畽
ttiauv	䵯 畽
ttiav	団
ttiavi	团 団
ttio	𲇲
ttiovv	𲇲
ttiu	揣
ttiuia	揣
ttiuvv	抟
tto	煓
ttoo	𰑁
ttoovv	𰑁
ttouia	煓
ttu	猯
ttuaia	猯
ttv	𰄞
ttvi	檲
ttviav	檲
ttvo	墥
ttvoov	墥
ttvv	𱉏
ttvvii	𰄞
ttvvua	𱉏
ttvvv	𣏢
ttvvva	𣏢
tw	吞
twa	臀
twaa	涒
twaavv	涒
twav	沌
twavai	沌
twavi	臋
twavia	臋
twavuu	臀
twavv	𡱒
twavvi	𡱒
twi	囤
twia	氽
twiaa	氽
twiao	𪑒
twiaov	𪑒
twiav	黗
twiava	囤 黗
twii	芚
twiiva	芚
two	暾
twoa	褪
twoaav	褪
twoi	旽
twoiov	暾
twoiva	旽
twoo	忳
twooo	憞
twooov	憞
twoov	啍
twoova	忳
twoovo	噋 啍
twou	焞
twouov	焞
twov	庉
twovva	庉
twu	豚
twua	饨
twuav	鲀
twuava	饨 鲀
twuo	朜
twuov	㬿
twuovo	朜 㬿
twuv	呑
twuvoo	呑
twuvua	豚
twv	屯
twva	𡉫
twvaia	屯
twvavo	𡉫
twvo	坉
twvoa	忒
twvoao	忒
twvova	坉
twvu	豘
twvuva	豘
twvvoo	吞
ty	同
tya	通
tyaa	统
tyaaov	统
tyai	洞
tyaiav	洞
tyao	潼
tyaooa	通
tyaovo	潼
tyau	㛚
tyaua	浵
tyauao	㛚 浵
tyi	铜
tyia	瞳
tyiai	峒
tyiaia	峝 峒
tyiaov	瞳
tyiau	峂
tyiaua	蚒 峂
tyiav	囲
tyiavo	同
tyiavv	囲
tyii	茼
tyiia	侗
tyiiao	蓪
tyiiav	侗
tyiiia	茼
tyio	僮
tyioia	铜
tyiovo	僮
tyiu	捅
tyiua	佟
tyiuao	𢳟 捅 佟
tyiuv	偅
tyiuvi	偅
tyiv	仝
tyiviv	仝
tyo	痛
tyoa	嗵
tyoai	𫍣
tyoaia	𫍣
tyoaoi	嗵
tyoi	哃
tyoiav	哃
tyoii	晍
tyoiia	晍
tyoio	曈
tyoiov	曈
tyoo	恸
tyooi	恫
tyooia	恫
tyoovv	恸
tyou	烔
tyouia	烔
tyouo	燑
tyouov	燑
tyouu	炵
tyouua	炵
tyov	童
tyova	𦒍
tyovao	痛 𦒍
tyovau	勭
tyovi	痌
tyovia	童 痌
tyovu	庝
tyovua	庝
tyovuv	氃
tyu	筒
tyua	彤
tyuai	鲖
tyuaia	鲖
tyuau	𱍇
tyuaua	𱍇
tyuauu	彤
tyuo	朣
tyuovo	朣
tyuu	衕
tyuuia	衕
tyuv	穜
tyuva	筩
tyuvao	筩
tyuvia	筒
tyuvov	穜
tyv	桶
tyva	樋
tyvaoi	桶 樋
tyvi	桐
tyviav	桐
tyvii	酮
tyviia	酮
tyvo	垌
tyvoia	垌
tyvov	橦
tyvovo	橦
tyvu	砼
tyvuiv	砼
tyvv	𮲄
tyvvoa	𮲄
tz	陶
tza	淘
tzaa	绦
tzaau	绹
tzaaua	𫘦 绦 绹
tzaauo	𬘺
tzaiua	陶
tzau	滔
tzauau	淘
tzauo	洮
tzauoo	滔
tzauov	洮
tzauu	嫍
tzauuo	嫍
tzav	涛
tzavi	弢
tzavia	弢
tzavvv	涛
tzi	掏
tzia	幍
tziauo	幍
tzii	萄
tziii	䀺
tziiia	䀺
tziiu	絛
tziiua	㫦 萄 絛
tziu	搯
tziuo	仐
tziuoo	仐
tziuua	掏
tziuuo	搯
tzo	讨
tzoa	叨
tzoauu	叨
tzoavi	讨
tzoo	慆
tzoouo	慆
tzou	啕
tzouau	啕
tzouo	咷
tzouov	咷
tzov	饕
tzovio	饕
tzu	逃
tzua	匋
tzuao	迯
tzuaoa	迯
tzuauv	匋
tzuo	鼗
tzuooa	逃
tzuovo	鼗
tzuv	䄻
tzuvu	䵚
tzuvuo	䄻 䵚
tzv	套
tzvi	醄
tzvia	鞀
tzviau	鞀
tzviu	鞉
tzviua	醄
tzviuo	鞉
tzvu	桃
tzvui	夵
tzvuiu	夵
tzvuo	槄
tzvuoo	槄
tzvuov	桃
tzvuu	夲
tzvuuo	夲
tzvuv	㚐
tzvuvi	套
tzvuvu	㚐
tzvv	焘
tzvvoo	焘
tzvvu	韬
tzvvuo	韬
tzvvv	梼
tzvvvv	梼
w	我
wb	吹
wba	陲
wbaiuv	陲
wbi	锤
wbia	圌
wbiaia	圌
wbio	𬭨
wbioui	𬭨
wbiouv	锤
wbiu	捶
wbiuu	搥
wbiuui	搥
wbiuuv	捶
wbiuv	倕
wbiuvi	倕
wbo	炊
wbou	𰝾
wbouai	吹
wbouua	炊
wbouuv	𰝾
wbu	垂
wbuv	箠
wbuvi	埀
wbuviv	垂 埀
wbuvuv	箠
wbv	槌
wbvi	椎
wbviov	椎
wbvu	棰
wbvui	桘
wbvuia	槌 桘
wbvuvi	棰
wd	抽
wda	丑
wdaa	绸
wdaai	䌷
wdaaia	䌷
wdaaua	绸
wdaivv	丑
wdau	丒
wdauov	丒
wdauv	𫝩
wdauvv	𫝩
wdi	仇
wdia	瞅
wdiaa	𥄨
wdiaai	𥄨
wdiau	矁
wdiauv	瞅 矁
wdiav	畴
wdiavo	畤
wdiavv	帱 畴
wdii	䀺
wdiiia	䀺
wdio	雠
wdioi	雔
wdioio	雔
wdioo	讐
wdiooa	雠
wdioov	讐
wdiou	犨
wdiouv	犨
wdiu	偢
wdiuaa	仇
wdiuia	抽
wdiuu	𫼝
wdiuua	𫼝
wdiuvi	偢
wdiv	俦
wdiva	侴
wdivai	侴
wdivvv	俦
wdo	踌
wdoa	裯
wdoai	吜
wdoaiv	吜
wdoao	𬣱
wdoaou	𬣱
wdoaua	裯
wdoivv	踌
wdoo	惆
wdooi	怞
wdooia	怞
wdooua	惆
wdoov	㤽
wdoovv	㤽
wdou	𬊍
wdouvv	𬊍
wdov	瘳
wdovao	瘳
wdovv	𱒦
wdovvv	𱒦
wdu	愁
wdua	㲋
wduav	㚟
wduava	㲋
wduavu	㚟
wdui	臭
wduivu	臭
wduv	筹
wduvoa	愁
wduvu	稠
wduvua	𥬠 稠
wduvvv	筹
wdv	酬
wdva	杻
wdvai	橻
wdvaiv	杻 橻
wdvi	酧
wdvioo	酧
wdviou	酬
wdviu	杽
wdviuu	杽
wdviv	𲆭
wdvivv	𲆭
wdvo	栦
wdvou	栦
wdvu	椆
wdvuav	椆
wdvuu	殠
wdvuui	殠
wdvv	𫜷
wdvvai	𫜷
we	车
wea	澈
weai	屮
weaiii	屮
weaova	澈
weav	尺
weavuo	尺
wei	撤
weiu	扯
weiuiv	扯
weiuo	偖
weiuoo	焎
weiuou	烲
weiuov	撤 偖
weiuv	撦
weiuvu	撦
weiv	伡
weivav	伡
weivo	迠
weivoa	迠
weo	㬚
weoa	𧮪
weoaiv	𧮪
weoi	呫
weoiov	㬚
weoiu	𠳏
weoiui	𠳏
weoivo	呫
weou	喢
weouo	烢
weouoo	烢
weouv	爡
weouva	爡
weouvi	喢
weov	𪠳
weovav	𪠳
weu	彻
weuu	勶
weuuau	勶
weuuva	彻
weuv	掣
weuviu	掣
wev	坼
wevavi	车
wevo	摰
wevoiu	摰
wevouu	坼
wevu	砗
wevuva	砗
wf	完
wfa	湾
wfaa	绾
wfaao	𬘫
wfaaoo	绾 𬘫
wfaau	纨
wfaaua	纨
wfai	卍
wfaivi	卍
wfao	涴
wfaoi	𧹗
wfaoia	𧹗
wfaooa	涴
wfaou	潫
wfaouv	潫
wfaov	翫
wfaovi	湾
wfaovv	翫
wfau	婉
wfaua	汍
wfauao	汍
wfauo	婠
wfauoo	婉 婠
wfauu	娩
wfauua	娩
wfauv	妧
wfauvv	妧
wfav	𬇕
wfavau	𬇕
wfavi	卐
wfaviv	卐
wfi	挽
wfia	蜿
wfiao	畹
wfiaoo	帵 蜿 畹
wfiav	蚖
wfiavv	岏 蚖
wfii	芄
wfiio	菀
wfiioi	蔓
wfiioo	莞 菀
wfiiua	芄
wfio	倇
wfiooa	倇
wfiu	抏
wfiuo	捖
wfiuoo	捥 捖
wfiuua	挽
wfiuvv	抏
wfo	晚
wfoi	晩
wfoio	晼
wfoioo	晼
wfoiua	晚 晩
wfoo	宛
wfooi	剜
wfooii	剜
wfooo	惋
wfoooa	唍 惌
wfoooo	惋
wfooua	宛
wfoov	忨
wfoovv	完 忨
wfou	烷
wfouoo	烷
wfov	弯
wfovav	弯
wfu	丸
wfua	盌
wfuaa	夗
wfuaaa	夗
wfuaau	妴
wfuai	㽜
wfuaia	盌 㽜
wfuaoo	丸
wfuav	㼝
wfuava	㼝
wfui	皖
wfuioo	皖
wfuo	腕
wfuoo	脘
wfuooa	腕 脘
wfv	万
wfva	𬨈
wfvaua	𬨈
wfvauu	万
wfvo	豌
wfvoo	塆
wfvooa	椀
wfvooo	埦 豌
wfvoov	塆
wfvou	䨲
wfvoua	䨲
wfvu	碗
wfvua	梚
wfvuai	梚
wfvuoo	碗
wfvv	玩
wfvva	杤
wfvvau	杤
wfvvi	刓
wfvvii	刓
wfvvo	琬
wfvvoo	琓 琬
wfvvv	顽
wfvvvu	顽
wfvvvv	玩
wg	揣
wga	欼
wgaoua	欼
wgi	搋
wgiuia	揣
wgiuuu	搋
wgiv	𱊼
wgivoi	𱊼
wgo	踹
wgoa	啜
wgoaoa	啜
wgoi	䦷
wgoiia	踹
wgoiii	䦷
wgoo	嘬
wgooiv	嘬
wgu	膪
wgui	膗
wguiai	膗
wguovo	膪
wh	外
whi	崴
whiavu	崴
whiu	𢱉
whiuvu	𢱉
who	㖞
whoi	𨂿
whoivu	𨂿
whooia	㖞
whov	㗏
whovui	㗏
whovv	竵
whovvo	竵
whu	夞
whuaio	外
whuaou	夞
whv	歪
whvuvi	歪
wj	无
wja	屋
wjaa	毋
wjaai	𣱾
wjaaii	𣱾
wjaauv	毋
wjai	阢
wjaiu	𬮻
wjaiua	嵨 𬮻
wjaiv	陚
wjaivu	阢
wjaivv	陚
wjao	骛
wjaoa	婺
wjaoaa	骛
wjaoau	婺
wjaoi	嵍
wjaoia	嵍
wjaoo	熃
wjaoou	熃
wjaou	鹜
wjaoua	鹜
wjaouv	敄
wjaov	奦
wjaovo	堥
wjaovu	奦
wjaovv	洖
wjau	妩
wjaua	溩
wjauaa	溩
wjaui	鋈
wjauio	鋈
wjauv	㵲
wjauvi	娪
wjauvv	娬 妩 㵲
wjav	污
wjavi	浯
wjavia	浯
wjavii	剭
wjavu	洿
wjavuo	洿
wjavv	𣲘
wjavva	汚 屋 污
wjavvi	汙
wjavvu	𣲘
wjavvv	弙
wji	伍
wjia	蜈
wjiaov	蜈
wjiau	岉
wjiaua	岉
wjiav	屼
wjiavi	峿
wjiavu	屼
wjii	芜
wjiiu	芴
wjiiua	芴
wjiivv	芜
wjio	钨
wjioua	钨
wjiov	铻
wjiovi	铻
wjiu	侮
wjiua	伆
wjiuau	伆
wjiui	扵
wjiuio	扵
wjiuu	𰓆
wjiuua	𰓆
wjiuv	捂
wjiuva	侮
wjiuvi	捂
wjiuvu	仵 扤
wjiuvv	儛 扝 扜
wjiv	俉
wjivi	𱏀
wjivia	伍 俉
wjivii	𱏀
wjivv	倵
wjivvi	倵
wjo	误
wjoa	诬
wjoai	禑
wjoaia	禑
wjoao	祦
wjoaov	误 祦
wjoav	喔
wjoavi	诬
wjoavu	吳 呉 喔
wjoi	晤
wjoiu	旿
wjoiuv	旿
wjoivi	晤
wjoo	悟
wjooa	寤
wjooai	寤
wjooo	悮
wjoooa	悞
wjooov	悮
wjoou	忤
wjoouv	忤
wjoov	怃
wjoovi	悟
wjoovv	怃
wjou	呜
wjouaa	呜
wjouu	𤆡
wjouua	𤆡
wjouv	焐
wjouvi	𭈘 焐
wjouvu	吘
wjov	吴
wjova	亡
wjovaa	亡
wjovi	唔
wjovia	唔
wjovio	於
wjovu	𤵐
wjovua	𱒐 𤵐
wjovv	庑
wjovvi	痦
wjovvu	吴
wjovvv	庑
wju	物
wjua	务
wjuaa	乌
wjuaai	邬
wjuaau	务
wjuaav	乌
wjuau	勿
wjuaua	𪉁
wjuauu	勿
wjui	鼯
wjuivi	鼯
wjuo	㐅
wjuoo	㐅
wjuv	舞
wjuvo	迕
wjuvoa	迕
wjuvov	筽
wjuvu	午
wjuvua	物 舞
wjuvuo	午
wjuvv	牾
wjuvvi	啎 牾
wjuvvv	橆
wjv	五
wjvi	吾
wjvia	郚
wjviai	郚
wjviav	五
wjvii	巫
wjviii	巫
wjvio	恶
wjvioa	悪 忢 恶
wjvioo	吾
wjviu	鹀
wjviua	鹀
wjviv	靰
wjvivu	靰
wjvo	雾
wjvoa	霚
wjvoao	霿 雺 霚
wjvou	坞
wjvoua	雾 坞
wjvov	圬
wjvovv	𪢸 圬
wjvu	兀
wjvua	戊
wjvuaa	兀
wjvuau	戊
wjvuu	卼
wjvuua	卼
wjvuv	碔
wjvuvv	碔
wjvv	武
wjvvi	梧
wjvvia	梧
wjvviv	武
wjvvu	鹉
wjvvua	杌 无 鹉
wjvvv	珸
wjvvva	杇
wjvvvi	珸
wjvvvv	珷
wk	吃
wka	迟
wkaa	池
wkaaa	驰
wkaaai	驰
wkaaia	池
wkaau	𫄨
wkaauo	𫄨
wkai	蚩
wkaia	妛
wkaiai	䧝
wkaiau	妛
wkaiia	蚩
wkaiu	湁
wkaiui	湁
wkao	翄
wkaou	欼
wkaoua	欼
wkaouo	翄
wkau	媸
wkauai	媸
wkav	尺
wkava	弛
wkavai	弛
wkavo	𰒒
wkavoa	遅 迟 𰒒
wkavuo	尺
wkavv	杘
wkavvi	沶
wkavvv	杘
wki	持
wkia	螭
wkiaa	眙
wkiaaa	汖
wkiaao	眙
wkiaav	蚇
wkiao	佁
wkiaoo	佁
wkiaov	螭
wkiau	眵
wkiaua	岻 蚳 眵
wkii	茌
wkiiiv	茌
wkiiv	俿
wkiiva	俿
wkiu	侈
wkiua	傺
wkiuai	扡
wkiuao	侈 傺
wkiuo	摛
wkiuov	摛
wkiuu	抶
wkiuua	拸
wkiuuv	抶
wkiuv	捇
wkiuvo	持 捇
wkiv	齿
wkivia	齿
wkivo	歯
wkivou	歯
wkivv	侙
wkivvi	侙
wko	痴
wkoa	嗤
wkoaii	嗤
wkoau	褫
wkoauu	褫
wkoav	呎
wkoavu	呎
wkoi	匙
wkoia	呬
wkoiau	呬
wkoiu	踟
wkoiua	匙
wkoiuv	踟
wkoo	憏
wkooua	憏
wkoov	恜
wkoovv	恜
wkou	叱
wkouaa	叱
wkouo	炽
wkouoo	叺
wkouou	炽
wkouv	呹
wkouva	吃
wkouvo	烾
wkouvv	呹
wkov	哧
wkovo	啻
wkovoo	啻
wkovou	哧
wkovu	癡
wkovua	癡
wkovuv	痴
wkovv	瘛
wkovva	痓
wkovvv	瘈 喫 噄 瘛
wku	斥
wkua	饬
wkuaa	卶
wkuaai	㺈 卶
wkuau	鸱
wkuaua	鸱
wkuauv	饬
wkui	魑
wkuiov	魑
wkuo	翅
wkuoa	郗
wkuoai	郗
wkuoao	翅
wkuov	瓻
wkuova	瓻
wkuu	彳
wkuua	徲
wkuuav	徲
wkuuii	彳
wkuuv	胣
wkuuva	胣
wkuuvi	斥
wkuv	笞
wkuva	胵
wkuvaa	箈
wkuvai	竾
wkuvao	笞 胵
wkuvi	箎
wkuviv	箎
wkuvo	黐
wkuvov	黐
wkuvu	篪
wkuvuu	篪
wkv	赤
wkva	𬸈
wkvaua	𬸈
wkvi	耻
wkvia	勅
wkviau	勅
wkviiv	耻
wkvio	恥
wkvioa	慗 恥
wkviu	敕
wkviua	𫛶
wkviuo	卙
wkviuu	彨
wkviuv	敕
wkvo	豉
wkvoa	墀
wkvoau	𠡠
wkvoav	墀
wkvoo	雴
wkvoou	灻
wkvoov	雴
wkvou	坻
wkvoua	垑 坻
wkvoui	赤
wkvouo	豉
wkvouv	𱡘
wkvov	坘
wkvova	坘
wkvovu	樆
wkvv	漦
wkvvaa	漦
wkvvv	𠩺
wkvvvu	𠩺
wl	握
wla	沃
wlaa	绰
wlaaiv	绰
wlaao	涰
wlaaoa	涰
wlaav	渥
wlaavu	渥
wlai	淖
wlaivo	淖
wlao	戳
wlaoi	涡
wlaoia	涡
wlaoo	涴
wlaooa	涴
wlaou	歠
wlaoua	歠
wlaova	戳
wlau	娖
wlaua	媉
wlauav	𡠟 媉
wlaui	婼
wlauia	婐
wlauii	婼
wlauiv	婥
wlauo	濣
wlauoi	娖
wlauoo	濣
wlauu	婑
wlauuv	婑
wlauv	娕
wlauvi	涹 娕
wlauvu	沃
wli	倭
wlia	蜗
wliaa	幄
wliaav	幄
wliaoi	蜗
wliav	偓
wliavu	偓
wlii	莴
wliii	蒦
wliiio	蒦
wliioi	莴
wliu	挝
wliuav	握
wliui	擭
wliuia	擉 捰
wliuii	擭
wliuo	捾
wliuoo	捾
wliuu	仴
wliuvi	倭 挝
wliv	龌
wlivav	龌
wlivo	龊
wlivoa	逴
wlivoi	龊
wlo	窝
wloa	喔
wloao	啜
wloaoa	啜
wloav	吷
wloavu	喔 吷
wloi	踔
wloiiv	踔
wloiu	踒
wloiuv	踒
wloo	惙
wlooao	惙
wlooi	嗢
wlooii	嗢
wloooi	窝
wlou	唩
wlouo	焥
wlouoo	焥
wlouvi	唩
wlov	𪢕
wlovvi	𪢕
wlu	斡
wluoio	斡
wluu	辵
wluuiv	辵
wluv	肟
wluviv	我
wluvva	肟
wlv	卧
wlva	辍
wlvaao	辍
wlvav	楃
wlvavu	楃
wlvi	䰀
wlvii	臥
wlviii	臥
wlviio	卧
wlviuv	䰀
wlvu	硪
wlvuuv	硪
wlvuv	𱍁
wlvuvu	𱍁
wlvv	㦱
wlvvvo	㦱
wm	床
wma	牀
wmaivv	牀
wmau	刅
wmauoo	刅
wmi	创
wmia	幢
wmiaii	创
wmiaov	幢
wmiu	𪭢
wmiuii	𪭢
wmiv	傸
wmivuo	傸
wmo	窗
wmoi	闯
wmoiaa	闯
wmoo	怆
wmooa	窓
wmooao	窓
wmooia	怆
wmooo	𥦗
wmoooo	𥦗
wmoou	窻
wmooui	窗 窻
wmoov	噇
wmoovo	噇
wmou	剏
wmoua	剙
wmouau	剏 剙
wmov	疮
wmovi	𰃷
wmovia	疮 𰃷
wmovvv	床
wmu	牕
wmui	牎
wmuiua	牎
wmuiui	牕
wmv	刱
wmvvau	刱
wn	问
wna	温
wnaa	纹
wnaao	𫘜
wnaaov	纹 𫘜
wnai	溫
wnaiai	溫
wnao	汶
wnaoi	渂
wnaoii	温
wnaoio	渂
wnaovu	汶
wnau	妏
wnauov	妏
wnav	蟁
wnavia	蟁
wni	蚊
wnia	𥁕
wniaia	𥁕
wniaov	蚊
wnii	芠
wniia	蕰
wniiai	薀
wniiao	蕰
wniiov	芠
wniu	抆
wniui	搵
wniuia	搵
wniuo	揾
wniuoi	揾
wniuov	抆
wno	文
wnoa	呡
wnoava	呡
wnoi	闻
wnoii	昷
wnoiia	昷
wnoioo	问
wnoiu	阌
wnoiuo	阌
wnoivi	闻
wnoo	呅
wnooo	忟
wnooov	忟
wnoovu	呅
wnou	吻
wnouau	吻
wnouo	炆
wnouov	炆
wnov	紊
wnovaa	紊
wnovi	螡
wnovia	蚉 螡
wnovo	瘟
wnovoi	瘟
wnovu	𪉃
wnovua	𪉃
wnovuo	文
wnovuu	彣
wnu	稳
wnua	刎
wnuaii	刎
wnuao	鳁
wnuaoi	鳁
wnui	璺
wnuivv	璺
wnuu	脗
wnuuau	脗
wnuv	穏
wnuvua	稳
wnuvuo	穏
wnv	雯
wnva	辒
wnvaoi	辒
wnvi	桽
wnvia	榲
wnviai	榲
wnviiv	桽
wnvo	榅
wnvoii	榅
wnvoo	塭
wnvooi	塭
wnvoov	雯
wnvu	歾
wnvuo	殟
wnvuoi	殟
wnvuua	歾
wnvv	玟
wnvvo	韫
wnvvoi	瑥 韫
wnvvov	玟
wp	望
wpa	汪
wpao	㲿
wpaovu	㲿
wpavvi	汪
wpi	网
wpia	罔
wpiaa	亾
wpiai	蝄
wpiaia	蝄
wpiaii	罒
wpiaio	罖
wpiao	㒺
wpiaou	罔 㒺
wpiauo	网
wpiav	蚟
wpiavv	蚟
wpiv	仼
wpivvi	仼
wpo	忘
wpoi	旺
wpoiu	暀
wpoiuu	暀
wpoivv	旺
wpoo	惘
wpooia	惘
wpoov	忹
wpoovv	忹
wpov	亡
wpova	妄
wpovaa	亡
wpovau	妄
wpovo	朚
wpovoa	忘
wpovoi	朚
wpovvv	望
wpu	往
wpui	魍
wpuiia	魍
wpuo	尣
wpuoa	兦
wpuoaa	兦
wpuoua	尣
wpuov	尩
wpuovv	尩
wpuu	徃
wpuuov	往
wpuuuv	徃
wpuuv	彺
wpuuvv	彺
wpv	王
wpva	辋
wpvaia	辋
wpvi	朢
wpvia	棢
wpviao	棢
wpvivv	朢
wpvu	尪
wpvua	尢
wpvuaa	𡯁 尢
wpvuv	尫
wpvuvv	尪 尫
wpvv	枉
wpvviv	王
wpvvvi	枉
wqo	欻
wqou	歘
wqouua	欻 歘
wqu	䵵
wquvia	䵵
wr	翁
wra	滃
wrauoa	滃
wri	蓊
wria	嵡
wriai	㘢
wriaio	㘢
wriauo	嵡
wrii	蕹
wriiov	蕹
wriiuo	蓊
wrio	𬭩
wriouo	𬭩
wriu	攚
wriuii	攚
wro	嗡
wroi	暡
wroiuo	暡
wrouoa	嗡
wrov	甕
wrovu	罋
wrovuv	罋
wrovva	甕
wru	瓮
wrua	𮬢
wruauo	𮬢
wrui	齆
wruiaa	齆
wruo	鹟
wruoa	勜
wruoao	翁
wruoau	勜
wruoua	鹟
wruova	瓮
wrv	䩺
wrviuo	䩺
wrvo	塕
wrvouo	塕
wrvv	奣
wrvvoi	奣
ws	差
wsa	娃
wsaa	汊
wsaaoo	汊
wsao	叉
wsaoo	漥
wsaooa	溛 漥
wsaooo	叉
wsau	娲
wsauo	姹
wsauoi	娲
wsauoo	婠 姹
wsauu	奼
wsauuv	奼
wsauvo	娃
wsav	洼
wsavov	洼
wsi	插
wsia	蛙
wsiaa	𡵌
wsiaao	𡵌
wsiai	凹
wsiaia	凹
wsiau	畖
wsiaua	䯉
wsiauo	岎
wsiauu	畖
wsiav	嵖
wsiavo	蛙 嵖
wsiavv	帓
wsii	茶
wsiii	苴
wsiiia	苴
wsiiiv	茶
wsiiv	茬
wsiivu	茬
wsio	锸
wsioo	镲
wsiooa	侘
wsiooo	镲
wsiouv	锸
wsiu	挖
wsiua	扠
wsiuao	扠
wsiui	搽
wsiuii	搽
wsiuo	𢱑
wsiuoo	搲 攨 挖 𢱑
wsiuu	揷
wsiuua	扱
wsiuuv	挿 插 揷
wsiuv	偛
wsiuvi	偛
wsiv	佤
wsivaa	佤
wso	察
wsoa	袜
wsoaa	衩
wsoaao	衩
wsoao	诧
wsoaoo	诧
wsoavv	袜
wsoi	蹅
